# Rejected / skipped decks log
# format: <reason> | url=<source_url> event=<event> placement=<placement>
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28236 event=NAIC 2026, New Orleans placement=2
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28250 event=NAIC 2026, New Orleans placement=3
invalid: unresolved: "Pokémon Center Lady" MEG 123 not in pool | url=https://limitlesstcg.com/decks/list/28252 event=NAIC 2026, New Orleans placement=5
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28253 event=NAIC 2026, New Orleans placement=6
invalid: unresolved: "Prism Tower" CRI 80 not in pool | url=https://limitlesstcg.com/decks/list/28254 event=NAIC 2026, New Orleans placement=7
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28255 event=NAIC 2026, New Orleans placement=8
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28256 event=NAIC 2026, New Orleans placement=9
invalid: unresolved: "Transformation Tome" CRI 83 not in pool; unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28257 event=NAIC 2026, New Orleans placement=10
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28258 event=NAIC 2026, New Orleans placement=12
invalid: unresolved: "Transformation Tome" CRI 83 not in pool; unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28260 event=NAIC 2026, New Orleans placement=14
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28261 event=NAIC 2026, New Orleans placement=16
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28262 event=NAIC 2026, New Orleans placement=18
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28264 event=NAIC 2026, New Orleans placement=22
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28266 event=NAIC 2026, New Orleans placement=25
invalid: unresolved: "Pokémon Center Lady" MEG 123 not in pool | url=https://limitlesstcg.com/decks/list/28267 event=NAIC 2026, New Orleans placement=26
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28268 event=NAIC 2026, New Orleans placement=27
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28270 event=NAIC 2026, New Orleans placement=29
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28271 event=NAIC 2026, New Orleans placement=31
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28272 event=NAIC 2026, New Orleans placement=32
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28273 event=NAIC 2026, New Orleans placement=33
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28274 event=NAIC 2026, New Orleans placement=35
invalid: unresolved: "Pokémon Center Lady" MEG 123 not in pool | url=https://limitlesstcg.com/decks/list/28276 event=NAIC 2026, New Orleans placement=37
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28277 event=NAIC 2026, New Orleans placement=38
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28280 event=NAIC 2026, New Orleans placement=41
invalid: unresolved: "Special Red Card" CRI 82 not in pool | url=https://limitlesstcg.com/decks/list/28281 event=NAIC 2026, New Orleans placement=42
